country_full,rank_date,rank,country_abrv,total_points,previous_points,rank_change,confederation,year,country,elo,appearance
Denmark,2022/10/6,10,DEN,1666.57,1665.47,0,UEFA,2022,Denmark,1937,301
Canada,2022/10/6,41,CAN,1475,1473.82,-2,CONCACAF,2022,Canada,1785,222
Tunisia,2022/10/6,30,TUN,1507.54,1507.86,0,CAF,2022,Tunisia,1640,334
Australia,2022/10/6,38,AUS,1488.72,1483.73,-1,AFC,2022,Australia,1733,285
Cameroon,2022/10/6,43,CMR,1471.44,1484.95,5,CAF,2022,Cameroon,1610,290
Korea Republic,2022/10/6,28,KOR,1530.3,1526.02,0,AFC,2022,Korea Republic,1787,300
Costa Rica,2022/10/6,31,CRC,1503.59,1500.06,-3,CONCACAF,2022,Costa Rica,1618,375
Ecuador,2022/10/6,44,ECU,1464.39,1463.74,0,CONMEBOL,2022,Ecuador,1849,336
Poland,2022/10/6,26,POL,1548.59,1546.18,0,UEFA,2022,Poland,1770,332
Belgium,2022/10/6,2,BEL,1816.71,1821.92,0,UEFA,2022,Belgium,2075,282
Brazil,2022/10/6,1,BRA,1841.3,1837.56,0,CONMEBOL,2022,Brazil,2149,421
France,2022/10/6,4,FRA,1759.78,1764.85,0,UEFA,2022,France,2114,361
Argentina,2022/10/6,3,ARG,1773.88,1770.65,0,CONMEBOL,2022,Argentina,2101,368
England,2022/10/6,5,ENG,1728.47,1737.46,0,UEFA,2022,England,2032,327
Portugal,2022/10/6,9,POR,1676.56,1678.65,0,UEFA,2022,Portugal,1972,323
Netherland,2022/10/6,8,NED,1694.51,1679.41,0,UEFA,2022,Netherland,1929,320
Germany,2022/10/6,11,GER,1650.21,1658.96,0,UEFA,2022,Germany,1963,370
Mexico,2022/10/6,13,MEX,1644.89,1649.57,1,CONCACAF,2022,Mexico,1840,479
USA,2022/10/6,16,USA,1627.48,1635.01,2,CONCACAF,2022,USA,1860,358
Switzerland,2022/10/6,15,SUI,1635.92,1621.43,-1,UEFA,2022,Switzerland,1934,324
Croatia,2022/10/6,12,CRO,1645.64,1632.15,-3,UEFA,2022,Croatia,1858,299
Uruguay,2022/10/6,14,URU,1638.71,1640.95,1,CONMEBOL,2022,Uruguay,1848,345
Senegal,2022/10/6,18,SEN,1584.38,1584.59,0,CAF,2022,Senegal,1705,228
Wales,2022/10/6,19,WAL,1569.82,1582.13,0,UEFA,2022,Wales,1836,226
Iran,2022/10/6,20,IRN,1564.61,1558.64,-2,AFC,2022,Iran,1836,331
Japan,2022/10/6,24,JPN,1559.54,1554.69,0,AFC,2022,Japan,1760,389
Morocco,2022/10/6,22,MAR,1563.5,1558.35,-1,CAF,2022,Morocco,1766,303
Serbia,2022/10/6,21,SRB,1563.62,1549.53,-4,UEFA,2022,Serbia,1846,153
Qatar,2022/10/6,50,QAT,1439.89,1441.97,2,AFC,2022,Qatar,1662,386
Saudi Arabia,2022/10/6,51,KSA,1437.78,1435.74,-2,AFC,2022,Saudi Arabia,1628,450
Ghana,2022/10/6,61,GHA,1393,1393.47,1,CAF,2022,Ghana,1603,316
Spain,2022/10/6,7,ESP,1715.22,1716.93,1,UEFA,2022,Spain,2037,339
