,date,home_team,away_team,home_score,away_score,tournament,city,neutral,year,rank_home,total_points_home,previous_points_home,rank_change_home,cur_year_avg_home,cur_year_avg_weighted_home,last_year_avg_home,last_year_avg_weighted_home,two_year_ago_avg_home,two_year_ago_weighted_home,three_year_ago_avg_home,three_year_ago_weighted_home,confederation_home,rank_away,total_points_away,previous_points_away,rank_change_away,cur_year_avg_away,cur_year_avg_weighted_away,last_year_avg_away,last_year_avg_weighted_away,two_year_ago_avg_away,two_year_ago_weighted_away,three_year_ago_avg_away,three_year_ago_weighted_away,confederation_away,elo_home,country,elo_away,rank_difference,average_rank,score_difference,point_difference,elo_diff,is_stake,home_appearance,away_appearance,match_ups,is_won,is_draw,is_lose
0,2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup,Moscow,False,2018,70.0,456.53,493.0,-4.0,166.07,166.07,216.18,108.09,362.25,108.68,368.5,73.7,UEFA,67.0,465.28,462.0,0.0,143.89,143.89,360.2,180.1,380.91,114.27,135.09,27.02,AFC,1698,Russia,1568,3.0,68.5,5,-8.75,130,True,235,396,1,True,False,False
5,2018-06-15,Egypt,Uruguay,0,1,FIFA World Cup,Ekaterinburg,True,2018,45.0,649.43,636.0,1.0,208.27,208.27,582.07,291.04,331.62,99.48,253.18,50.64,CAF,14.0,1018.41,976.0,3.0,486.28,486.28,487.69,243.84,561.47,168.44,599.26,119.85,CONMEBOL,1657,Russia,1866,31.0,29.5,-1,-368.98,-209,True,313,276,1,False,False,True
7,2018-06-15,Portugal,Spain,3,3,FIFA World Cup,Sochi,True,2018,4.0,1273.69,1306.0,0.0,646.92,646.92,691.82,345.91,517.77,155.33,627.63,125.53,UEFA,10.0,1125.5,1162.0,-2.0,537.05,537.05,611.48,305.74,646.4,193.92,443.99,88.8,UEFA,1994,Russia,2031,-6.0,7.0,0,148.19000000000005,-37,True,269,281,7,False,True,False
30,2018-06-15,Morocco,Iran,0,1,FIFA World Cup,Saint Petersburg,True,2018,41.0,685.86,681.0,1.0,369.1,369.1,345.29,172.65,366.78,110.03,170.43,34.09,CAF,37.0,708.35,727.0,-1.0,290.29,290.29,492.04,246.02,308.01,92.4,398.22,79.64,AFC,1691,Russia,1800,4.0,39.0,-1,-22.49000000000001,-109,True,251,288,1,False,False,True
41,2018-06-16,Peru,Denmark,0,1,FIFA World Cup,Saransk,True,2018,11.0,1125.39,1106.0,0.0,560.36,560.36,788.09,394.05,421.92,126.58,222.02,44.4,CONMEBOL,12.0,1051.44,1054.0,0.0,723.72,723.72,314.88,157.44,300.24,90.07,401.06,80.21,UEFA,1882,Russia,1842,-1.0,11.5,-1,73.95000000000005,40,True,256,247,0,False,False,True
28,2018-06-16,Argentina,Iceland,1,1,FIFA World Cup,Moscow,True,2018,5.0,1241.45,1254.0,0.0,404.07,404.07,809.59,404.8,829.98,248.99,917.94,183.59,CONMEBOL,22.0,908.01,930.0,0.0,438.64,438.64,564.25,282.13,302.02,90.61,483.19,96.64,UEFA,1984,Russia,1811,-17.0,13.5,0,333.44000000000005,173,True,307,231,0,False,True,False
43,2018-06-16,Croatia,Nigeria,2,0,FIFA World Cup,Kaliningrad,True,2018,20.0,945.18,975.0,-2.0,397.75,397.75,672.78,336.39,335.96,100.79,551.26,110.25,UEFA,48.0,617.79,635.0,-1.0,251.21,251.21,474.22,237.11,198.21,59.46,350.01,70.0,CAF,1856,Russia,1699,-28.0,34.0,2,327.39,157,True,244,263,0,True,False,False
19,2018-06-16,France,Australia,2,1,FIFA World Cup,Kazan,True,2018,7.0,1198.13,1166.0,0.0,520.12,520.12,856.75,428.38,393.65,118.09,657.68,131.54,UEFA,36.0,718.33,700.0,4.0,366.6,366.6,387.55,193.77,327.21,98.16,298.94,59.79,AFC,1989,Russia,1727,-29.0,21.5,1,479.80000000000007,262,True,303,251,4,True,False,False
34,2018-06-17,Brazil,Switzerland,1,1,FIFA World Cup,Rostov-on-Don,True,2018,2.0,1430.57,1384.0,0.0,558.95,558.95,1082.36,541.18,560.21,168.06,811.88,162.38,CONMEBOL,6.0,1198.72,1179.0,0.0,578.59,578.59,808.58,404.29,338.09,101.43,572.09,114.42,UEFA,2113,Russia,1866,-4.0,4.0,0,231.8499999999999,247,True,357,234,2,False,True,False
32,2018-06-17,Germany,Mexico,0,1,FIFA World Cup,Moscow,True,2018,1.0,1558.49,1544.0,0.0,775.06,775.06,832.0,416.0,424.26,127.28,1200.77,240.15,UEFA,15.0,989.44,1008.0,0.0,470.55,470.55,506.78,253.39,579.97,173.99,457.54,91.51,CONCACAF,2109,Russia,1848,-14.0,8.0,-1,569.05,261,True,318,401,4,False,False,True
54,2018-06-17,Costa Rica,Serbia,0,1,FIFA World Cup,Samara,True,2018,23.0,884.04,858.0,2.0,410.9,410.9,480.58,240.29,332.44,99.73,665.55,133.11,CONCACAF,34.0,750.75,732.0,1.0,417.12,417.12,407.12,203.56,305.24,91.57,192.48,38.5,UEFA,1745,Russia,1769,-11.0,28.5,-1,133.28999999999996,-24,True,317,107,0,False,False,True
49,2018-06-18,Sweden,Korea Republic,1,0,FIFA World Cup,Nizhny Novgorod,True,2018,24.0,879.9,889.0,-1.0,478.44,478.44,431.99,215.99,370.1,111.03,372.19,74.44,UEFA,57.0,543.67,520.0,4.0,162.13,162.13,447.58,223.79,305.97,91.79,329.82,65.96,AFC,1825,Russia,1760,-33.0,40.5,1,336.23,65,True,299,0,0,True,False,False
40,2018-06-18,Belgium,Panama,3,0,FIFA World Cup,Sochi,True,2018,3.0,1298.32,1346.0,0.0,629.98,629.98,645.63,322.82,529.8,158.94,932.92,186.58,UEFA,55.0,571.17,574.0,0.0,276.92,276.92,309.0,154.5,326.3,97.89,209.29,41.86,CONCACAF,1927,Russia,1671,-52.0,29.0,3,727.15,256,True,227,247,0,True,False,False
47,2018-06-18,Tunisia,England,1,2,FIFA World Cup,Volgograd,True,2018,21.0,909.91,1012.0,-7.0,545.56,545.56,394.79,197.39,227.59,68.28,493.39,98.68,CAF,12.0,1050.84,1040.0,1.0,476.42,476.42,593.51,296.75,580.49,174.15,517.6,103.52,UEFA,1622,Russia,1933,9.0,16.5,-1,-140.92999999999995,-311,True,281,266,1,False,False,True
2,2018-06-19,Russia,Egypt,3,1,FIFA World Cup,Saint Petersburg,False,2018,70.0,456.53,493.0,-4.0,166.07,166.07,216.18,108.09,362.25,108.68,368.5,73.7,UEFA,45.0,649.43,636.0,1.0,208.27,208.27,582.07,291.04,331.62,99.48,253.18,50.64,CAF,1698,Russia,1657,25.0,57.5,2,-192.89999999999998,41,True,235,313,0,True,False,False
53,2018-06-19,Colombia,Japan,1,2,FIFA World Cup,Saransk,True,2018,16.0,985.97,989.0,0.0,292.09,292.09,655.57,327.78,665.76,199.73,831.89,166.38,CONMEBOL,61.0,520.75,528.0,-1.0,164.51,164.51,413.01,206.5,273.24,81.97,338.88,67.78,AFC,1926,Russia,1706,-45.0,38.5,-1,465.22,220,True,296,329,3,False,False,True
59,2018-06-19,Poland,Senegal,1,2,FIFA World Cup,Moscow,True,2018,8.0,1182.61,1128.0,2.0,499.9,499.9,896.94,448.47,375.17,112.55,608.45,121.69,UEFA,27.0,837.98,825.0,1.0,368.23,368.23,537.34,268.67,280.3,84.09,584.93,116.99,CAF,1842,Russia,1750,-19.0,17.5,-1,344.6299999999999,92,True,277,244,0,False,False,True
1,2018-06-20,Uruguay,Saudi Arabia,1,0,FIFA World Cup,Rostov-on-Don,True,2018,14.0,1018.41,976.0,3.0,486.28,486.28,487.69,243.84,561.47,168.44,599.26,119.85,CONMEBOL,67.0,465.28,462.0,0.0,143.89,143.89,360.2,180.1,380.91,114.27,135.09,27.02,AFC,1866,Russia,1568,-53.0,40.5,1,553.13,298,True,276,396,2,True,False,False
17,2018-06-20,Portugal,Morocco,1,0,FIFA World Cup,Moscow,True,2018,4.0,1273.69,1306.0,0.0,646.92,646.92,691.82,345.91,517.77,155.33,627.63,125.53,UEFA,41.0,685.86,681.0,1.0,369.1,369.1,345.29,172.65,366.78,110.03,170.43,34.09,CAF,1994,Russia,1691,-37.0,22.5,1,587.83,303,True,269,251,0,True,False,False
8,2018-06-20,Iran,Spain,0,1,FIFA World Cup,Kazan,True,2018,37.0,708.35,727.0,-1.0,290.29,290.29,492.04,246.02,308.01,92.4,398.22,79.64,AFC,10.0,1125.5,1162.0,-2.0,537.05,537.05,611.48,305.74,646.4,193.92,443.99,88.8,UEFA,1800,Russia,2031,27.0,23.5,-1,-417.15,-231,True,288,281,0,False,False,True
20,2018-06-21,Denmark,Australia,1,1,FIFA World Cup,Samara,True,2018,12.0,1051.44,1054.0,0.0,723.72,723.72,314.88,157.44,300.24,90.07,401.06,80.21,UEFA,36.0,718.33,700.0,4.0,366.6,366.6,387.55,193.77,327.21,98.16,298.94,59.79,AFC,1842,Russia,1727,-24.0,24.0,0,333.11,115,True,247,251,3,False,True,False
21,2018-06-21,France,Peru,1,0,FIFA World Cup,Ekaterinburg,True,2018,7.0,1198.13,1166.0,0.0,520.12,520.12,856.75,428.38,393.65,118.09,657.68,131.54,UEFA,11.0,1125.39,1106.0,0.0,560.36,560.36,788.09,394.05,421.92,126.58,222.02,44.4,CONMEBOL,1989,Russia,1882,-4.0,9.0,1,72.74000000000001,107,True,303,256,0,True,False,False
11,2018-06-21,Argentina,Croatia,0,3,FIFA World Cup,Nizhny Novgorod,True,2018,5.0,1241.45,1254.0,0.0,404.07,404.07,809.59,404.8,829.98,248.99,917.94,183.59,CONMEBOL,20.0,945.18,975.0,-2.0,397.75,397.75,672.78,336.39,335.96,100.79,551.26,110.25,UEFA,1984,Russia,1856,-15.0,12.5,-3,296.2700000000001,128,True,307,244,4,False,False,True
29,2018-06-22,Nigeria,Iceland,2,0,FIFA World Cup,Volgograd,True,2018,48.0,617.79,635.0,-1.0,251.21,251.21,474.22,237.11,198.21,59.46,350.01,70.0,CAF,22.0,908.01,930.0,0.0,438.64,438.64,564.25,282.13,302.02,90.61,483.19,96.64,UEFA,1699,Russia,1811,26.0,35.0,2,-290.22,-112,True,263,231,0,True,False,False
37,2018-06-22,Brazil,Costa Rica,2,0,FIFA World Cup,Saint Petersburg,True,2018,2.0,1430.57,1384.0,0.0,558.95,558.95,1082.36,541.18,560.21,168.06,811.88,162.38,CONMEBOL,23.0,884.04,858.0,2.0,410.9,410.9,480.58,240.29,332.44,99.73,665.55,133.11,CONCACAF,2113,Russia,1745,-21.0,12.5,2,546.53,368,True,357,317,5,True,False,False
36,2018-06-22,Serbia,Switzerland,1,2,FIFA World Cup,Kaliningrad,True,2018,34.0,750.75,732.0,1.0,417.12,417.12,407.12,203.56,305.24,91.57,192.48,38.5,UEFA,6.0,1198.72,1179.0,0.0,578.59,578.59,808.58,404.29,338.09,101.43,572.09,114.42,UEFA,1769,Russia,1866,28.0,20.0,-1,-447.97,-97,True,107,234,0,False,False,True
